num   ra   dec   z
       1  160.343979   58.892006      0.0661
       2  159.867477   58.791653      0.0445
       3  162.410004   59.584255      0.1172
       4  162.541306   59.508057      0.0657
       5  162.364426   59.548122      0.2174
       6  162.529907   59.548279      0.1152
       7  161.787369   59.637070      0.0905
       8  161.481232   59.154434      0.0444
       9  161.591110   59.733681      0.1208
      10  161.114120   59.741550      0.1167
      11  161.719803   56.251869      0.0466
      12  162.267563   56.223896      0.0720
      13  163.008453   56.550426      0.1237
      14  161.927094   56.313950      0.1529
      15  161.757828   56.306698      0.1528
      16  162.042313   56.380413      0.0725
      17  161.769012   56.340290      0.0470
      18  163.396576   56.742016      0.1284
      19  163.443298   56.738590      0.0756
      20  163.269684   56.558121      0.0695
      21  163.198105   56.488396      0.0771
      22  163.090500   56.508358      0.0452
      23  163.479263   56.444065      0.0463
      24  163.539307   56.821037      0.0465
      25  158.224823   58.109165      0.0734
      26  159.048798   57.722580      0.0930
      27  159.346680   57.520687      0.0719
      28  158.911224   57.595356      0.1025
      29  158.913437   57.712189      0.1127
      30  159.735580   57.263611      0.0465
      31  159.635101   57.400352      0.0471
      32  161.487244   57.455200      0.1172
      33  160.290985   56.931610      0.1852
      34  160.307007   57.082462      0.0462
      35  160.316635   56.895859      0.1850
      36  159.985229   57.405224      0.0723
      37  160.109146   57.439774      0.0472
      38  160.209625   57.394753      0.1179
      39  159.383560   57.384907      0.0737
      40  159.796875   57.271355      0.1022
      41  158.990982   57.416706      0.1019
      42  158.975632   58.310066      0.1549
      43  158.855515   58.286003      0.1136
      44  159.744232   58.376076      0.0680
      45  159.064484   57.654163      0.1133
      46  159.026978   57.784019      0.0441
      47  159.222870   57.911854      0.1023
      48  159.988174   58.659477      0.2005
      49  159.519424   58.048820      0.0913
      50  159.785034   58.231087      0.0729
      51  159.858276   57.968010      0.1375
      52  160.542007   58.660980      0.0313
      53  160.577850   58.683121      0.1202
      54  160.412643   58.587433      0.1154
      55  160.293533   58.256409      0.1207
      56  160.416168   58.317219      0.0723
      57  160.122330   58.167828      0.0732
      58  160.101044   58.155155      0.0720
      59  159.898605   57.985569      0.0752
      60  160.510269   57.897064      0.1158
      61  160.951996   58.196552      0.0734
      62  160.912796   58.047363      0.1330
      63  160.884811   57.672138      0.0460
      64  161.003174   58.760303      0.0728
      65  161.376663   58.208862      0.1184
      66  161.255325   57.775749      0.1134
      67  161.188293   58.454948      0.0313
      68  163.634583   57.159023      0.0676
      69  162.272141   57.625908      0.0760
      70  163.176727   57.320744      0.0898
      71  163.219910   57.131599      0.1628
      72  163.255646   57.095276      0.0798
      73  163.352737   57.208591      0.0798
      74  161.950500   57.577232      0.1176
      75  162.146072   58.023308      0.1761
      76  162.021423   57.815125      0.0742
      77  162.105240   57.666645      0.0440
      78  162.122040   57.898895      0.0738
      79  161.256927   57.661160      0.0455
      80  162.074005   57.402802      0.0750
      81  162.046738   57.408562      0.0746
      82  161.036087   57.861359      0.1208
      83  160.774017   58.697739      0.1190
      84  162.484955   59.508350      0.1159
      85  162.139542   59.018890      0.0631
      86  162.016739   58.860039      0.0855
      87  161.407364   58.194466      0.1157
      88  161.385223   58.501560      0.1160
      89  161.550034   58.449207      0.0497
      90  162.641678   59.372662      0.1529
      91  162.537048   58.928658      0.1167
      92  162.655121   59.095818      0.0324
      93  162.794739   59.076843      0.1170
      94  161.805725   58.177593      0.0613
      95  163.712448   58.390816      0.1149
      96  164.749863   58.256863      0.1324
      97  164.770325   58.322235      0.1314
      98  164.145706   58.796764      0.0497
      99  164.332474   57.951702      0.0772
     100  164.741547   58.133690      0.0319
     101  164.462036   58.237595      0.0767
